ID,编码,名称
322,1775,襄汾县
323,1776,洪洞县
324,1777,霍州市
325,1778,古县
326,1779,安泽县
327,1781,浮山县
328,1782,吉县
329,1783,乡宁县
330,1784,蒲县
331,1785,大宁县
332,1786,永和县
333,1787,隰县
334,1788,汾西县
335,1810,运城市
336,1811,盐湖区
337,1812,永济市
338,1813,芮城县
339,1814,临猗县
340,1815,万荣县
341,1816,新绛县
342,1817,稷山县
343,1818,河津市
344,1819,闻喜县
345,1821,夏县
346,1822,绛县
347,1823,平陆县
348,1824,垣曲县
349,1900,内蒙古自治区
350,1910,呼和浩特市
351,1911,土默特左旗
352,1912,托克托县
353,1913,武川县
354,1914,和林格尔县
355,1915,清水河县
356,1916,回民区
357,1917,如意开发区
358,1918,赛罕区
359,1919,新城区
360,2061,玉泉区
361,1920,包头市
362,1921,土默特右旗
363,1922,固阳县
364,1923,达尔罕茂明安联合旗
365,1924,东河区
366,1925,昆都仑区
367,1926,青山区
368,1927,石拐区
369,1928,白云鄂博矿区
370,1929,九原区
371,1930,乌海市
372,1931,海勃湾区
373,1932,海南区
374,1933,乌达区
375,1940,赤峰市
376,1941,阿鲁科尔沁旗
377,1942,巴林左旗
378,1943,巴林右旗
379,1944,林西县
380,1945,克什克腾旗
381,1946,翁牛特旗
382,1947,喀喇沁旗
383,1948,宁城县
384,1949,敖汉旗
385,1951,红山区
386,1952,元宝山区
387,1953,松山区
388,1960,呼伦贝尔市
389,1961,海拉尔区
390,1962,满洲里市
391,1963,扎兰屯市
392,1964,牙克石市
393,1965,阿荣旗
394,1966,莫力达瓦达斡尔族自治旗
395,1967,额尔古纳市
396,1968,根河市
397,1969,鄂伦春自治旗
398,1971,鄂温克族自治旗
399,1972,新巴尔虎右旗
400,1973,新巴尔虎左旗
401,1974,陈巴尔虎旗
402,1975,扎赉诺尔区
403,1980,兴安盟
404,1981,乌兰浩特市
405,1982,科尔沁右翼前旗
406,1983,科尔沁右翼中旗
407,1984,扎赉特旗
408,1985,突泉县
409,1986,阿尔山市
410,1990,通辽市
411,1991,科尔沁区
412,1992,霍林郭勒市
413,1993,科尔沁左翼中旗
414,1994,科尔沁左翼后旗
